gene_id,Control1_NP,Control2_NP,Control3_NP,Control4_NP,Control1_P,Control2_P,Control3_P,Control4_P,EE1_P,EE2_P,EE3_P,EE4_P
MSTRG.7100,14293,11145,11462,9558,10823,9095,9817,24719,28988,17402,11246,14971
MSTRG.9818,513,348,412,278,335,393,315,1037,948,354,406,425
MSTRG.15559,277,187,166,289,158,136,167,593,410,186,168,179
MSTRG.8960,2517,2578,2343,1885,1839,1636,1314,5064,4463,2381,1798,2889
MSTRG.20088,6,3,6,4,5,0,0,0,10,8,14,0
MSTRG.20089,0,13,0,12,10,0,13,15,19,8,30,0
MSTRG.20086,2863,3524,2722,2027,1935,1861,1906,5786,5788,3260,2516,2950
MSTRG.20087,0,0,0,0,0,0,0,0,17,6,16,0
MSTRG.20084,0,0,0,0,4,21,6,12,0,0,0,0
MSTRG.20085,11,0,0,0,0,36,0,21,22,15,19,6
MSTRG.20082,340,217,135,192,70,151,108,248,416,136,175,172
MSTRG.20083,141,128,117,164,106,128,78,412,347,323,144,185
MSTRG.20080,3799,3396,3216,2554,2506,2118,1998,6813,5652,2685,2103,2859
MSTRG.7173,0,9,7,0,0,5,9,10,16,0,0,0
MSTRG.699,553,493,417,448,459,421,321,1045,977,508,438,552
MSTRG.698,1126,703,439,961,750,732,339,2390,2409,814,693,954
MSTRG.697,1883,1370,1166,1391,1637,1055,940,3411,3486,2237,1267,1306
MSTRG.8961,737,509,420,387,473,400,362,1151,1327,590,542,559
MSTRG.695,630,541,567,473,356,265,260,884,855,510,405,571
...
